,,,,,Overall,Overall,Overall,Overall,Overall,Bowls,Bowls,Bowls,Bowls,Bowls,SRS,SRS,,,
Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
242,Syracuse,1899,2024,123,1281,708,530,41,.570,29,17,11,1,.603,4.14,1.28,16,5,record adjusted to 697-530-41 by NCAA
243,Tampa,1966,1974,7,73,43,30,0,.589,1,1,0,0,1.000,-3.53,-7.13,0,0,
244,Temple,1930,2024,77,822,343,453,26,.433,9,3,6,0,.333,-3.48,-0.99,1,1,record adjusted to 338-458-26 by NCAA
245,Tennessee,1902,2024,120,1315,861,399,51,.676,57,31,26,0,.544,10.09,3.61,47,13,record adjusted to 862-399-50 by NCAA
246,Tennessee Medical College,1904,1904,1,6,2,4,0,.333,0,0,0,0,,-9.28,2.06,0,0,
247,Tennessee State,1977,1977,1,10,8,1,1,.850,0,0,0,0,,3.58,-8.72,0,0,
248,Texas,1902,2024,123,1329,910,385,32,.698,62,33,27,2,.548,11.96,4.20,52,31,record adjusted to 911-385-31 by NCAA
249,Texas A&M,1903,2024,122,1306,764,496,44,.603,44,20,24,0,.455,7.98,3.31,28,18,
250,Texas Christian,1903,2024,119,1285,673,558,50,.545,37,19,17,1,.527,2.94,1.85,21,17,record adjusted to 673-557-50 by NCAA
251,Texas Southern,1977,1977,1,11,6,4,1,.591,0,0,0,0,,-5.98,-9.98,0,0,
252,Texas State,2012,2024,13,158,56,102,0,.354,2,2,0,0,1.000,-10.33,-5.09,0,0,
253,Texas Tech,1932,2024,93,1060,574,460,24,.554,42,17,24,1,.417,3.98,2.01,11,11,
254,Texas-Arlington,1971,1981,11,120,49,71,0,.408,0,0,0,0,,-9.71,-6.19,0,1,
255,The Citadel,1909,1981,65,609,284,304,21,.484,1,1,0,0,1.000,-7.47,-6.72,0,1,
256,Toledo,1962,2024,63,728,428,290,8,.595,22,12,10,0,.545,-3.95,-7.04,4,12,record adjusted to 430-288-8 by NCAA
257,Trinity (CT),1887,1901,15,126,50,62,14,.452,0,0,0,0,,-4.52,-2.66,0,0,
258,Troy,2001,2024,24,296,163,133,0,.551,10,6,4,0,.600,-3.27,-4.90,1,8,
259,Tufts,1877,1905,17,178,70,103,5,.407,0,0,0,0,,-6.06,-2.49,0,0,
260,Tulane,1902,2024,120,1242,549,656,35,.457,17,7,10,0,.412,0.45,1.79,8,5,record adjusted to 548-657-35 by NCAA
261,Tulsa,1917,2024,93,1023,514,490,18,.512,23,11,12,0,.478,-1.65,-2.25,8,27,
262,UAB,1996,2024,27,321,143,178,0,.445,6,3,3,0,.500,-6.28,-4.22,0,2,
263,UCF,1996,2024,29,357,202,155,0,.566,15,6,9,0,.400,0.16,-3.11,5,6,
264,UCLA,1928,2024,97,1084,620,416,31,.596,38,17,20,1,.461,8.99,5.60,32,17,record adjusted to 613-423-31 by NCAA
265,Union (NY),1894,1902,3,18,3,15,0,.167,0,0,0,0,,-10.45,3.85,0,0,
266,USC,1922,2024,103,1201,798,333,40,.699,58,37,21,0,.638,13.78,6.25,51,39,record adjusted to 784-333-40 by NCAA
267,Utah,1905,2024,118,1190,693,466,30,.595,26,17,9,0,.654,2.41,-1.75,11,26,
268,Utah State,1912,2024,110,1120,542,550,28,.496,16,6,10,0,.375,-4.92,-4.82,4,13,record adjusted to 546-547-27 by NCAA
269,UTEP,1935,2024,87,957,347,590,18,.373,15,5,10,0,.333,-9.55,-5.12,0,2,
270,UTSA,2012,2024,13,162,87,75,0,.537,6,2,4,0,.333,-4.96,-5.29,0,2,
271,Vanderbilt,1902,2024,121,1254,563,648,43,.466,10,5,4,1,.550,3.36,3.56,3,0,record adjusted to 564-647-43 by NCAA
272,Vermont,1901,1905,5,48,21,22,5,.490,0,0,0,0,,-3.00,-1.06,0,0,
273,Villanova,1905,1980,59,547,270,260,17,.509,5,2,2,1,.500,-2.26,-3.09,3,0,
274,Virginia,1890,2024,121,1262,607,618,37,.496,21,8,13,0,.381,0.98,0.63,9,2,
275,Virginia Military Institute,1904,1981,70,684,306,344,34,.472,0,0,0,0,,-5.27,-4.03,1,7,
276,Virginia Tech,1902,2024,121,1283,743,495,44,.597,36,14,22,0,.389,3.21,-0.90,20,8,record adjusted to 744-494-44 by NCAA
277,Wabash,1904,1905,2,17,8,9,0,.471,0,0,0,0,,4.55,1.77,0,0,
278,Wake Forest,1908,2024,117,1206,486,689,31,.416,17,11,6,0,.647,-2.36,0.86,5,2,
279,Washburn,1905,1940,7,68,29,38,1,.434,0,0,0,0,,-11.77,-8.80,0,0,
280,Washington,1916,2024,108,1152,675,445,32,.600,42,20,21,1,.488,8.09,4.30,27,20,record adjusted to 678-442-32 by NCAA
281,Washington & Jefferson,1905,1934,30,288,196,71,21,.717,1,0,0,1,.500,4.77,-2.83,0,0,
282,Washington & Lee,1907,1953,44,390,191,174,25,.522,1,0,1,0,.000,-0.76,-1.91,1,2,
283,Washington (MO),1902,1942,40,331,147,165,19,.473,0,0,0,0,,-5.13,-4.22,0,3,
284,Washington State,1917,2024,105,1104,507,554,38,.479,18,7,11,0,.389,2.47,3.18,12,4,record adjusted to 509-552-38 by NCAA
285,Wesleyan (CT),1882,1905,24,217,92,118,7,.440,0,0,0,0,,0.49,3.84,0,0,
286,West Texas State,1941,1985,44,447,212,225,9,.485,4,4,0,0,1.000,-8.65,-8.69,0,4,
287,West Virginia,1909,2024,112,1226,699,474,41,.593,41,17,24,0,.415,3.95,0.53,20,15,
288,West Virginia Wesleyan,1913,1916,4,33,16,16,1,.500,0,0,0,0,,-1.55,-1.37,0,0,
289,Western Carolina,1977,1981,5,55,25,28,2,.473,0,0,0,0,,-8.00,-8.33,0,0,
290,Western Kentucky,2007,2024,18,231,121,110,0,.524,11,7,4,0,.636,-4.06,-5.41,1,2,
291,Western Michigan,1962,2024,63,706,364,335,7,.521,11,2,9,0,.182,-6.41,-7.14,1,3,record adjusted to 365-334-7 by NCAA
292,Western State,1924,1937,14,96,20,76,0,.208,0,0,0,0,,-20.15,-8.96,0,0,
293,Whitman,1923,1924,2,12,2,10,0,.167,0,0,0,0,,-13.95,1.72,0,0,
294,Wichita State,1945,1986,42,433,167,254,12,.400,3,0,3,0,.000,-10.37,-6.40,0,5,record adjusted to 168-253-12 by NCAA
295,William & Mary,1922,1983,55,560,260,279,20,.483,3,1,2,0,.333,-4.63,-4.51,3,4,
296,Williams,1886,1906,21,211,107,90,14,.540,0,0,0,0,,1.28,0.17,0,0,
297,Wisconsin,1892,2024,133,1322,742,520,52,.584,35,19,16,0,.543,8.23,4.78,26,14,record adjusted to 743-519-52 by NCAA
298,Wofford,1914,1936,15,128,36,88,4,.297,0,0,0,0,,-13.04,-5.23,0,0,
299,WPI,1888,1893,2,11,3,7,1,.318,0,0,0,0,,-12.11,-1.48,0,0,
300,Wyoming,1905,2024,113,1167,543,594,26,.478,19,10,9,0,.526,-4.58,-3.23,4,14,record adjusted to 544-593-26 by NCAA
301,Xavier,1935,1973,16,161,71,86,4,.453,0,0,0,0,,-11.60,-8.18,0,0,
302,Yale,1872,1981,108,973,717,203,53,.764,0,0,0,0,,7.88,-1.09,4,11,
